descriptor,item
" no sugar
. Iced Coffee with cream and sugar
. Large Iced Coffee",Iced Coffee
" extra ice
. Iced Coffee",Iced Coffee
" caramel flavor
. Iced Coffee with vanilla syrup
. Iced Coffee",Iced Coffee
" light cream
. Small Iced Coffee",Iced Coffee
" no cream
. Iced Coffee",Iced Coffee
" mocha flavor
. Iced Coffee with whipped cream
. Iced Coffee",Iced Coffee
" decaf
. Iced Coffee with hazelnut syrup
. Iced Coffee",Iced Coffee
" soy milk
. Iced Coffee",Iced Coffee
" flavored with French vanilla
. Iced Coffee",Iced Coffee
" low-fat milk
. Iced Coffee with chocolate syrup
. Iced Coffee",Iced Coffee
" double shot of espresso
. Iced Coffee with almond milk
. Iced Coffee",Iced Coffee
" extra sweet
. Iced Coffee with cinnamon flavor
. Iced Coffee",Iced Coffee
" lactose-free milk
. Iced Coffee with mint syrup
. Iced Coffee",Iced Coffee
" extra strong
. Iced Coffee with coconut flavor
. Iced Coffee",Iced Coffee
" half and half
. Iced Coffee with caramel and whipped cream
. Iced Coffee",Iced Coffee
" iced mocha
. Iced Coffee",Iced Coffee
" black
. Iced Coffee with raspberry syrup
. Iced Coffee",Iced Coffee
" light on ice
. Iced Coffee with pumpkin spice
. Iced Coffee",Iced Coffee
" non-dairy creamer
. Iced Coffee",Iced Coffee
" creamy and smooth
. Iced Coffee with toffee nut syrup
. Iced Coffee",Iced Coffee
" no milk
. Iced Coffee with macadamia nut flavor
. Iced Coffee",Iced Coffee
" full-bodied
. Iced Coffee with Irish cream syrup
. Iced Coffee",Iced Coffee
" sugar-free
. Iced Coffee with classic syrup
. Iced Coffee",Iced Coffee
" bold flavor
. Iced Coffee with butter pecan syrup
. Iced Coffee",Iced Coffee
" made with whole milk
. Iced Coffee with strawberry syrup
. Iced Coffee",Iced Coffee
" silky texture
. Iced Coffee with gingerbread flavor
. Iced Coffee",Iced Coffee
" extra creamy
. Iced Coffee with pistachio syrup
. Iced Coffee",Iced Coffee
" indulgent taste
. Iced Coffee with blueberry syrup
. Iced Coffee",Iced Coffee
" smooth finish

Alternative Coffee Orders:
. Cool Brew",Iced Coffee
" no heat added
. Chill Caf�",Iced Coffee
" creamy refreshment
. Frosty Java",Iced Coffee
" ice-blended goodness
. Icy Java",Iced Coffee
" chilled delight
. Chilled Coffee",Iced Coffee
" extra coolness
. Cool Caf�",Iced Coffee
" refreshing sip
. Crisp Brew",Iced Coffee
" cold and delicious
. Frozen Mocha",Iced Coffee
" frosty indulgence
. Chilled Java",Iced Coffee
" iced perfection
. Invigorating Cold Brew",Iced Coffee
" icy pick-me-up
. Refreshing Chill Coffee",Iced Coffee
" cool treat
. Frosty Latte",Iced Coffee
" blended cold goodness
. Cool Espresso",Iced Coffee
" chilly energy boost
. Iced Milk Coffee",Iced Coffee
" creamy and cold
. Nippy Brew",Iced Coffee
" refreshingly cold
. Frosty Caramel Java",Iced Coffee
" chilled delight
. Chilled Cup of Joe",Iced Coffee
" cold and satisfying
. Cold Mocha Frappe",Iced Coffee
" icy chocolate delight
. Chill Latte",Iced Coffee
" cool and creamy
. Frozen Coffee",Iced Coffee
" frosty awakening
. Chilled Pick-me-up",Iced Coffee
" cool energy boost
. Cool Hazelnut Java",Iced Coffee
" refreshing treat
. Arctic Cappuccino",Iced Coffee
" icy and frothy
. Chilled Espresso",Iced Coffee
" cold and invigorating
. Frigid Vanilla Brew",Iced Coffee
" freezing sweet delight
. Cool Macchiato",Iced Coffee
" chilled espresso treasure
. Shivering Caf� Mocha",Iced Coffee
" icy chocolate perfection
. Refreshing Icy Cup",Iced Coffee
" cold and revitalizing
. Slushy Coffee",Iced Coffee
" frozen delight
. Chilled Almond Latte",Iced Coffee
" cool nutty goodness
. Gelid Brew",Iced Coffee
" frosty refreshment
. Frozen Cup of Joe",Iced Coffee
" icy satisfaction
. Frosty Caramel Macchiato",Iced Coffee
" chilled caramel delight
. Chilled Milk Coffee",Iced Coffee
" cold and creamy
. Frigid Iced Coffee",Iced Coffee
" freezing pick-me-up
. Cool Vanilla Frappe",Iced Coffee
" refreshing creamy treat
. Arctic Chai Latte",Iced Coffee
" icy and spiced
. Chilled Espressoccino",Iced Coffee
" cold espresso bliss
. Frozen Hazelnut Mocha",Iced Coffee
" frosty nutty indulgence
. Chill Coffee Delight",Iced Coffee
" cool and delightful
. Cold Chocolate Brew",Iced Coffee
" icy chocolate pleasure
. Cool Toffee Macchiato",Iced Coffee
" refreshing sweet delight
. Iced Java Shake",Iced Coffee
" frosty energy boost
. Chilled Coconut Latte",Iced Coffee
" cool tropical sip
. Gelid Cup o� Joe",Iced Coffee
" freezing wake-up call
. Shivering Irish Cream Brew",Iced Coffee
" icy creamy goodness
. Refreshing Gingerbread Coffee",Iced Coffee
" cool and spicy
. Slushy Almond Milk Latte",Iced Coffee
" frozen nutty bliss
. Cool Espresso Splash",Iced Coffee
" chilled invigorating sip
. Icy Cinnamon Mocha",Iced Coffee
 cold and flavorful,Iced Coffee
"Quarter Pounder with Cheese Classic
Order ",Quarter Pounder
"Quarter Pounder Deluxe with Bacon
Order ",Quarter Pounder
"Quarter Pounder BLT combo
Order ",Quarter Pounder
"Quarter Pounder BBQ Ranch
Order ",Quarter Pounder
"Quarter Pounder Mushroom Swiss
Order ",Quarter Pounder
"Quarter Pounder Jalapeno Explosion
Order ",Quarter Pounder
"Quarter Pounder Classic with Pickles
Order ",Quarter Pounder
"Quarter Pounder Bacon Lover's Combo
Order ",Quarter Pounder
"Quarter Pounder BBQ Bacon
Order ",Quarter Pounder
"Quarter Pounder Hawaiian Style
Order ",Quarter Pounder
"Deluxe Bacon Lover's Combo
Order ",Quarter Pounder
"BLT combo with Cheese
Order ",Quarter Pounder
"Jalapeno Explosion BBQ Ranch
Order ",Quarter Pounder
"Mushroom Swiss BBQ Bacon
Order ",Quarter Pounder
"Hawaiian Style with Pickles
Order ",Quarter Pounder
"Bacon Lover's Deluxe
Order ",Quarter Pounder
"BLT combo Swiss Style
Order ",Quarter Pounder
"Jalapeno Explosion Hawaiian Style
Order ",Quarter Pounder
"Mushroom Swiss with Pickles
Order ",Quarter Pounder
"BBQ Ranch Bacon Lover's Combo
Order ",Quarter Pounder
"Quarter Pounder with Bacon and Cheese
Order ",Quarter Pounder
"Quarter Pounder Deluxe
Order ",Quarter Pounder
"Quarter Pounder BLT
Order ",Quarter Pounder
"Quarter Pounder BBQ
Order ",Quarter Pounder
"Quarter Pounder Mushroom Swiss Deluxe
Order ",Quarter Pounder
"Quarter Pounder Jalapeno Explosion BLT
Order ",Quarter Pounder
"Quarter Pounder Classic with Pickles and Cheese
Order ",Quarter Pounder
"Quarter Pounder Bacon Lover's Combo Deluxe
Order ",Quarter Pounder
"Quarter Pounder BBQ Bacon BLT
Order ",Quarter Pounder
"Quarter Pounder Hawaiian Style BBQ
Order ",Quarter Pounder
"Deluxe Bacon Lover's Combo with Pickles
Order ",Quarter Pounder
"BLT combo with Cheese and Bacon
Order ",Quarter Pounder
"Jalapeno Explosion BBQ Ranch Deluxe
Order ",Quarter Pounder
"Mushroom Swiss BBQ Bacon BLT
Order ",Quarter Pounder
"Hawaiian Style with Pickles and Cheese
Order ",Quarter Pounder
"Bacon Lover's Deluxe with Bacon
Order ",Quarter Pounder
"BLT combo Swiss Style with Pickles
Order ",Quarter Pounder
"Jalapeno Explosion Hawaiian Style BBQ
Order ",Quarter Pounder
"Mushroom Swiss with Pickles and Bacon
Order ",Quarter Pounder
"BBQ Ranch Bacon Lover's Combo BLT
Order ",Quarter Pounder
"Beefy Cheese Burger
Order ",Quarter Pounder
"The Deluxe Bacon Burger
Order ",Quarter Pounder
"Bacon Lettuce Tomato Lover's Combo
Order ",Quarter Pounder
"Classic Beefy BBQ Burger
Order ",Quarter Pounder
"Mushroom Swiss Beefy Burger
Order ",Quarter Pounder
"Spicy Jalapeno Explosion Burger
Order ",Quarter Pounder
"The Classic Pickles Burger
Order ",Quarter Pounder
"Bacon Lover's Beefy Combo
Order ",Quarter Pounder
"BBQ Bacon Burger
Order ",Quarter Pounder
"Tropical Style Beefy Burger
Order ",Quarter Pounder
"The Deluxe Bacon Lettuce Tomato Burger
Order ",Quarter Pounder
"BLT Lover's Combo
Order ",Quarter Pounder
"Jalapeno Explosion Ranch Burger
Order ",Quarter Pounder
"Swiss Mushroom Beefy Burger
Order ",Quarter Pounder
"Beefy Hawaiian Style
Order ",Quarter Pounder
"Bacon Lover's Combo Deluxe
Order ",Quarter Pounder
"BLT Swiss Style
Order ",Quarter Pounder
"Jalapeno Explosion Tropical Style
Order ",Quarter Pounder
"Mushroom Bacon Beefy Burger
Order ",Quarter Pounder
BBQ Ranch Bacon Lover's Combo BLT,Quarter Pounder
" Chicken McNuggets Happy Meal with fries and a soda
",Chicken McNuggets
" Spicy Chicken McNuggets with ranch dipping sauce
",Chicken McNuggets
 Chicken McNuggets Deluxe with lettuce,Chicken McNuggets
 tomato,Chicken McNuggets
" and mayonnaise
",Chicken McNuggets
" Chicken McNuggets with Sweet and Sour Sauce
",Chicken McNuggets
" BBQ Chicken McNuggets with a side of coleslaw
",Chicken McNuggets
" Chicken McNuggets Wrap with honey mustard dressing
",Chicken McNuggets
" Chicken McNuggets Salad with mixed greens and Italian dressing
",Chicken McNuggets
" Chicken McNuggets with Chipotle BBQ Sauce
",Chicken McNuggets
" Chicken McNuggets with Sriracha Mayo
",Chicken McNuggets
" Chicken McNuggets with Honey Mustard Sauce
",Chicken McNuggets
" Chicken McNuggets with Tangy Buffalo Sauce
",Chicken McNuggets
" Grilled Chicken McNuggets with a side of steamed vegetables
",Chicken McNuggets
" Chicken McNuggets with Teriyaki Sauce
",Chicken McNuggets
" Chicken McNuggets with Spicy Mayo
",Chicken McNuggets
" Chicken McNuggets with Chili Lime Sauce
",Chicken McNuggets
" Chicken McNuggets with Garlic Parmesan Sauce
",Chicken McNuggets
" Chicken McNuggets with Creamy Garlic Sauce
",Chicken McNuggets
" Chicken McNuggets with Cajun Sauce
",Chicken McNuggets
" Chicken McNuggets with Zesty Salsa
",Chicken McNuggets
" Baked Chicken McNuggets with a side of quinoa and roasted vegetables
",Chicken McNuggets
" Crispy Chicken McNuggets with a side of sweet chili sauce
",Chicken McNuggets
" Chicken McNuggets with a side of guacamole
",Chicken McNuggets
" Chicken McNuggets with a side of honey barbecue sauce
",Chicken McNuggets
" Chicken McNuggets with a side of creamy ranch dressing
",Chicken McNuggets
" Chicken McNuggets with a side of spicy ketchup
",Chicken McNuggets
" Chicken McNuggets with a side of tangy honey mustard
",Chicken McNuggets
" Chicken McNuggets with a side of smoky barbecue sauce
",Chicken McNuggets
" Chicken McNuggets with a side of zesty hot mustard
",Chicken McNuggets
" Chicken McNuggets with a side of savory soy sauce
",Chicken McNuggets
" Chicken McNuggets with a side of fiery sriracha sauce
",Chicken McNuggets
" Crispy Chicken Chunks with a side of garlic parmesan sauce
",Chicken McNuggets
" Spicy Breaded Chicken Bites with a side of tangy buffalo sauce
",Chicken McNuggets
" Grilled Chicken Poppers with a side of honey mustard dipping sauce
",Chicken McNuggets
" Tender Chicken Chunks with a side of creamy garlic sauce
",Chicken McNuggets
" Crispy Poultry Bites with a side of smoky barbecue dip
",Chicken McNuggets
" Savory Chicken Bites with a side of zesty salsa
",Chicken McNuggets
" Crispy Chicken Tenders with a side of queso cheese dip
",Chicken McNuggets
" Spicy Chicken Chunks with a side of chipotle ranch
",Chicken McNuggets
" Grilled Chicken Popcorn with a side of tangy honey mustard
",Chicken McNuggets
" Breaded Chicken Poppers with a side of sweet and sour sauce
",Chicken McNuggets
" Baked Poultry Bites with a side of sriracha mayo
",Chicken McNuggets
" Tender Chicken Chunks with a side of Cajun sauce
",Chicken McNuggets
" Spicy Breaded Chicken Bites with a side of creamy sriracha
",Chicken McNuggets
" Grilled Chicken Nuggets with a side of garlic parmesan aioli
",Chicken McNuggets
" Crispy Chicken Poppers with a side of tangy chili lime
",Chicken McNuggets
" Savory Poultry Bites with a side of ranchero salsa
",Chicken McNuggets
" Breaded Chicken Tenders with a side of fiery honey barbecue
",Chicken McNuggets
" Spicy Chicken Popcorn with a side of creamy spicy mayo
",Chicken McNuggets
" Tender Chicken Chunks with a side of zesty teriyaki glaze
",Chicken McNuggets
" Crispy Chicken Bites with a side of smoky garlic parmesan dip
",Chicken McNuggets
" Popcorn Chicken Delight with a side of tangy barbecue sauce
",Chicken McNuggets
" Spicy Breaded Chicken Snackers with a side of buffalo mayo dip
",Chicken McNuggets
" Grilled Chicken Poppers with a side of honey mustard vinaigrette
",Chicken McNuggets
" Breaded Poultry Bites with a side of creamy garlic aioli
",Chicken McNuggets
" Popcorn Chicken Pleasure with a side of zesty salsa verde
",Chicken McNuggets
" Crispy Chicken Tenders with a side of queso cheese blanco
",Chicken McNuggets
" Spicy Chicken Chunks with a side of tangy ranch dressing
",Chicken McNuggets
" Grilled Chicken Nuggets with a side of honey lime glaze
",Chicken McNuggets
" Crispy Chicken Poppers with a side of sweet chili aioli
",Chicken McNuggets
" Savory Poultry Bites with a side of jalapeno ranch dip
",Chicken McNuggets
" Popcorn Chicken Sensation with a side of smoky barbecue drizzle
",Chicken McNuggets
" Tender Chicken Chunks with a side of tangy honey bourbon
",Chicken McNuggets
" Breaded Chicken Snackers with a side of creamy sriracha dipping sauce
",Chicken McNuggets
" Spicy Chicken Poppers with a side of zesty cilantro lime
",Chicken McNuggets
" Grilled Chicken Bites with a side of garlic parmesan cream
",Chicken McNuggets
" Crispy Chicken Chunks with a side of tangy chili garlic
",Chicken McNuggets
" Popcorn Chicken Delight with a side of ranchero queso
",Chicken McNuggets
" Breaded Chicken Poppers with a side of fiery honey mustard
",Chicken McNuggets
" Spicy Chicken Tenders with a side of creamy spicy sriracha
",Chicken McNuggets
