descriptor,item
succulent,burger
 juicy,burger
 beef,burger
 patty,burger
 cheese,burger
 lettuce,burger
 tomato,burger
 onion,burger
 pickles,burger
 bacon,burger
 bun,burger
 savory,burger
 grilled,burger
 charred,burger
 melted,burger
 flavorful,burger
 condiments,burger
 ketchup,burger
 mustard,burger
 mayo,burger
 sesame seeds,burger
 gourmet,burger
 mouthwatering,burger
 delicious,burger
 handheld,burger
 fast food,burger
 American,burger
 classic,burger
 combo,burger
 sliders,burger
 double,burger
 single,burger
 toppings,burger
 special sauce,burger
 sesame buns,burger
 sizzling,burger
 barbecued,burger
 smoky,burger
  seasoned,burger
 hunger-satisfying,burger
 indulgent,burger
 messy,burger
 satisfying,burger
 crowd-pleaser,burger
 all-beef,burger
 grilled chicken,burger
 turkey,burger
 veggie,burger
 slider-sized,burger
 stacked,burger
creamy,milkshake
 frothy,milkshake
 sweet,milkshake
 cold,milkshake
 refreshing,milkshake
 indulgent,milkshake
 flavorful,milkshake
 rich,milkshake
 smooth,milkshake
 thick,milkshake
 silky,milkshake
 velvety,milkshake
 luscious,milkshake
 decadent,milkshake
 dessert,milkshake
 tasty,milkshake
 delicious,milkshake
 yummy,milkshake
 heavenly,milkshake
 mouthwatering,milkshake
 creamy,milkshake
 whipped,milkshake
 chilled,milkshake
 delightful,milkshake
 scrumptious,milkshake
 satisfying,milkshake
 blended,milkshake
 milky,milkshake
 frothy,milkshake
 icy,milkshake
 frosty,milkshake
 cool,milkshake
 shake,milkshake
 beverage,milkshake
 drink,milkshake
 treat,milkshake
 dessert,milkshake
 dairy,milkshake
 sugary,milkshake
 thirst-quenching,milkshake
 creamy,milkshake
 handcrafted,milkshake
 homemade,milkshake
 classic,milkshake
 old-fashioned,milkshake
 traditional,milkshake
 fruity,milkshake
 flavored,milkshake
 vanilla,milkshake
 chocolate,milkshake
 strawberry,milkshake
 Oreo,milkshake
 caramel,milkshake
