descriptor,item
"I'll have a large iced coffee, please.",Iced Coffee
Can I get an iced coffee with cream and sugar?,Iced Coffee
"May I have a medium iced coffee, extra ice?",Iced Coffee
"One small iced coffee, no sweetener, please.",Iced Coffee
"I'd like a decaf iced coffee, please.",Iced Coffee
Can I get a caramel-flavored iced coffee?,Iced Coffee
"I'll take a hazelnut iced coffee, please.",Iced Coffee
May I have an iced coffee with almond milk?,Iced Coffee
"One iced coffee with a dash of cinnamon, please.",Iced Coffee
"I'd like a classic iced coffee, black.",Iced Coffee
Can I get an iced coffee with whipped cream on top?,Iced Coffee
I'll take an iced coffee with a splash of vanilla syrup.,Iced Coffee
May I have an iced coffee with coconut milk?,Iced Coffee
"One small iced coffee with light ice, please.",Iced Coffee
"I'd like a mocha iced coffee, please.",Iced Coffee
Can I get an iced coffee with soy milk?,Iced Coffee
I'll take a medium iced coffee with no cream.,Iced Coffee
May I have an iced coffee with a hint of mint syrup?,Iced Coffee
"One large iced coffee, extra sweet, please.",Iced Coffee
I'd like an iced coffee with caramel drizzle on top.,Iced Coffee
Can I get a vanilla iced coffee with whipped cream?,Iced Coffee
I'll take an iced coffee with half and half.,Iced Coffee
May I have an iced coffee with hazelnut syrup?,Iced Coffee
"One iced coffee with a sprinkle of cocoa powder, please.",Iced Coffee
"I'd like a cold brew iced coffee, please.",Iced Coffee
Can I get an iced coffee with chocolate milk?,Iced Coffee
I'll take a medium iced coffee with light sugar.,Iced Coffee
May I have an iced coffee with a touch of honey?,Iced Coffee
"One small iced coffee with no milk, please.",Iced Coffee
"I'd like a raspberry-flavored iced coffee, please.",Iced Coffee
Can I get an iced coffee with oat milk?,Iced Coffee
I'll take an iced coffee with a shot of espresso.,Iced Coffee
May I have an iced coffee with almond syrup?,Iced Coffee
"One large iced coffee, double cream, please.",Iced Coffee
I'd like an iced coffee with coconut syrup.,Iced Coffee
Can I get an iced coffee with a splash of caramel?,Iced Coffee
I'll take an iced coffee with non-fat milk.,Iced Coffee
May I have an iced coffee with a hint of toffee syrup?,Iced Coffee
"One iced coffee with whipped cream and chocolate shavings, please.",Iced Coffee
"I'd like a macadamia nut flavored iced coffee, please.",Iced Coffee
Can I get an iced coffee with cashew milk?,Iced Coffee
I'll take a medium iced coffee with extra sweetness.,Iced Coffee
May I have an iced coffee with Irish cream syrup?,Iced Coffee
"One small iced coffee with light syrup, please.",Iced Coffee
"I'd like a cinnamon roll-flavored iced coffee, please.",Iced Coffee
Can I get an iced coffee with hemp milk?,Iced Coffee
"I'll take an iced coffee with no sweetener, please.",Iced Coffee
May I have an iced coffee with a touch of gingerbread syrup?,Iced Coffee
"One large iced coffee, no cream, no sugar, please.",Iced Coffee
"I'd like a pistachio-flavored iced coffee, please.",Iced Coffee
Can I get an iced coffee with whole milk?,Iced Coffee
I'll take an iced coffee with a shot of hazelnut.,Iced Coffee
May I have an iced coffee with maple syrup?,Iced Coffee
"One iced coffee with a sprinkle of nutmeg, please.",Iced Coffee
"I'd like a black forest-flavored iced coffee, please.",Iced Coffee
Can I get an iced coffee with rice milk?,Iced Coffee
I'll take a medium iced coffee with a splash of hazelnut.,Iced Coffee
May I have an iced coffee with butter pecan syrup?,Iced Coffee
"One small iced coffee with no creamer, please.",Iced Coffee
"I'd like a pistachio almond-flavored iced coffee, please.",Iced Coffee
Can I get an iced coffee with macadamia milk?,Iced Coffee
I'll take an iced coffee with a hint of lavender syrup.,Iced Coffee
May I have an iced coffee with toffee nut syrup?,Iced Coffee
"One large iced coffee, extra cream, please.",Iced Coffee
I'd like an iced coffee with a touch of mint extract.,Iced Coffee
Can I get an iced coffee with coconut cream?,Iced Coffee
I'll take a medium iced coffee with light creamer.,Iced Coffee
May I have an iced coffee with brown sugar?,Iced Coffee
"One iced coffee with a drizzle of caramel and whipped cream, please.",Iced Coffee
"I'd like a snickerdoodle-flavored iced coffee, please.",Iced Coffee
Can I get an iced coffee with pistachio syrup?,Iced Coffee
I'll take an iced coffee with soy creamer.,Iced Coffee
May I have an iced coffee with a hint of orange zest?,Iced Coffee
"One small iced coffee with no whipped cream, please.",Iced Coffee
"I'd like a gingerbread-flavored iced coffee, please.",Iced Coffee
Can I get an iced coffee with flax milk?,Iced Coffee
I'll take a medium iced coffee with light sweetening.,Iced Coffee
May I have an iced coffee with amaretto syrup?,Iced Coffee
"One large iced coffee, extra sugar, please.",Iced Coffee
"I'd like a coconut almond-flavored iced coffee, please.",Iced Coffee
Can I get an iced coffee with oat cream?,Iced Coffee
I'll take an iced coffee with a shot of caramel.,Iced Coffee
May I have an iced coffee with butter rum syrup?,Iced Coffee
"One iced coffee with a sprinkle of cinnamon sugar, please.",Iced Coffee
"I'd like a turtle-flavored iced coffee, please.",Iced Coffee
Can I get an iced coffee with walnut syrup?,Iced Coffee
I'll take an iced coffee with heavy cream.,Iced Coffee
May I have an iced coffee with a hint of coconut extract?,Iced Coffee
"One small iced coffee with no sweet syrup, please.",Iced Coffee
"I'd like a peppermint mocha iced coffee, please.",Iced Coffee
Can I get an iced coffee with sunflower milk?,Iced Coffee
I'll take a medium iced coffee with light milk.,Iced Coffee
May I have an iced coffee with maple walnut syrup?,Iced Coffee
"One large iced coffee, double sweetener, please.",Iced Coffee
I'd like an iced coffee with a touch of rose syrup.,Iced Coffee
Can I get an iced coffee with pistachio creamer?,Iced Coffee
I'll take an iced coffee with a shot of coconut.,Iced Coffee
May I have an iced coffee with caramelized sugar?,Iced Coffee
"One iced coffee with a drizzle of chocolate sauce and whipped cream, please.",Iced Coffee
"I'd like a honey lavender-flavored iced coffee, please.",Iced Coffee
"Can I get a cold coffee, please?",Iced Coffee
"May I have a chilled java, please?",Iced Coffee
"One frosty java, please.",Iced Coffee
I'd like a refreshing coffee with cream and sugar.,Iced Coffee
Can you make it a coffee on the rocks?,Iced Coffee
May I have a medium coffee served cold?,Iced Coffee
"One cup of joe with ice, please.",Iced Coffee
I'll take a cold brew with cream and sweetener.,Iced Coffee
Can I get a coffee over ice?,Iced Coffee
"May I have a medium coffee chilled, please?",Iced Coffee
"One iced java with milk, please.",Iced Coffee
I'd like a frosty coffee with caramel flavor.,Iced Coffee
Can you make it a coffee served chilled?,Iced Coffee
May I have a cold coffee with almond milk?,Iced Coffee
"One iced java with a dash of cinnamon, please.",Iced Coffee
"I'll take a chilled espresso, please.",Iced Coffee
Can I get a coffee with chocolate milk over ice?,Iced Coffee
May I have a medium coffee cold and without sugar?,Iced Coffee
"One iced java with a hint of mint flavor, please.",Iced Coffee
I'd like a refreshing coffee with vanilla syrup.,Iced Coffee
Can you make it a coffee on the rocks with whipped cream?,Iced Coffee
May I have a cold brew with coconut milk?,Iced Coffee
"One cup of joe with ice and a splash of hazelnut, please.",Iced Coffee
"I'll take a cold coffee with no sweetener, please.",Iced Coffee
Can I get a coffee served chilled with a touch of honey?,Iced Coffee
May I have a medium coffee with soy milk and ice?,Iced Coffee
"One frosty java with a sprinkle of cocoa powder, please.",Iced Coffee
I'd like a chilled java with a shot of caramel.,Iced Coffee
Can you make it a coffee on the rocks with almond syrup?,Iced Coffee
May I have a cold coffee with a hint of toffee flavor?,Iced Coffee
"One iced java with oat milk, please.",Iced Coffee
I'll take a refreshing coffee with a shot of hazelnut.,Iced Coffee
Can I get a coffee over ice with maple syrup?,Iced Coffee
May I have a medium coffee served cold with a touch of gingerbread?,Iced Coffee
"One iced java with coconut cream, please.",Iced Coffee
I'd like a frosty coffee with a hint of orange zest.,Iced Coffee
Can you make it a coffee on the rocks with a drizzle of caramel?,Iced Coffee
May I have a cold coffee with pistachio syrup?,Iced Coffee
"One cup of joe with ice and a sprinkle of cinnamon sugar, please.",Iced Coffee
I'll take a chilled espresso with a touch of rose syrup.,Iced Coffee
Can I get a coffee with macadamia nut flavor over ice?,Iced Coffee
May I have a medium coffee cold with a splash of coconut?,Iced Coffee
"One iced java with walnut syrup, please.",Iced Coffee
I'd like a refreshing coffee with a shot of coconut.,Iced Coffee
Can you make it a coffee on the rocks with butter rum syrup?,Iced Coffee
"May I have a cold coffee with heavy cream, please?",Iced Coffee
"One frosty java with a hint of coconut extract, please.",Iced Coffee
I'll take a cold brew with pistachio creamer.,Iced Coffee
Can I get a coffee served chilled with a shot of toffee?,Iced Coffee
May I have a medium coffee with caramelized sugar and ice?,Iced Coffee
"One iced java with sunflower milk, please.",Iced Coffee
I'd like a chilled java with a touch of lavender syrup.,Iced Coffee
Can you make it a coffee on the rocks with brown sugar?,Iced Coffee
May I have a cold coffee with a drizzle of chocolate sauce?,Iced Coffee
"One cup of joe with ice and a splash of almond syrup, please.",Iced Coffee
I'll take a refreshing coffee with maple walnut syrup.,Iced Coffee
Can I get a coffee over ice with a sprinkle of nutmeg?,Iced Coffee
May I have a medium coffee served cold with a dash of cinnamon?,Iced Coffee
"One frosty java with a hint of mint extract, please.",Iced Coffee
I'd like a chilled espresso with caramel drizzle.,Iced Coffee
Can you make it a coffee on the rocks with a touch of rosewater?,Iced Coffee
May I have a cold coffee with hazelnut creamer?,Iced Coffee
"One iced java with a shot of coconut milk, please.",Iced Coffee
I'll take a cold brew with a hint of orange blossom water.,Iced Coffee
Can I get a coffee served chilled with a drizzle of caramel sauce?,Iced Coffee
May I have a medium coffee with a splash of pistachio syrup and ice?,Iced Coffee
"One cup of joe with ice and a touch of honey, please.",Iced Coffee
I'd like a refreshing coffee with a sprinkle of cocoa powder.,Iced Coffee
Can you make it a coffee on the rocks with a hint of lavender?,Iced Coffee
May I have a cold coffee with a touch of ginger syrup?,Iced Coffee
"One frosty java with walnut creamer, please.",Iced Coffee
I'll take a chilled java with a shot of hazelnut syrup.,Iced Coffee
Can I get a coffee over ice with a hint of coconut cream?,Iced Coffee
May I have a medium coffee served cold with a drizzle of chocolate syrup?,Iced Coffee
"One iced java with a splash of almond extract, please.",Iced Coffee
I'd like a chilled espresso with a sprinkle of cinnamon sugar.,Iced Coffee
Can you make it a coffee on the rocks with a touch of mint?,Iced Coffee
May I have a cold coffee with caramelized sugar and almond milk?,Iced Coffee
"One cup of joe with ice and a hint of toffee syrup, please.",Iced Coffee
I'll take a refreshing coffee with coconut milk and a shot of caramel.,Iced Coffee
Can I get a coffee served chilled with a dash of cinnamon and whipped cream?,Iced Coffee
May I have a medium coffee with a touch of rose syrup and ice?,Iced Coffee
"One frosty java with a drizzle of chocolate sauce, please.",Iced Coffee
I'd like a chilled java with a hint of coconut extract and a shot of hazelnut.,Iced Coffee
Can you make it a coffee on the rocks with a touch of lavender syrup?,Iced Coffee
May I have a cold coffee with a splash of almond milk and a sprinkle of nutmeg?,Iced Coffee
"One iced java with caramel creamer and a dash of cinnamon, please.",Iced Coffee
I'll take a cold brew with maple syrup and a hint of gingerbread flavor.,Iced Coffee
Can I get a coffee over ice with coconut cream and a drizzle of caramel?,Iced Coffee
May I have a medium coffee served cold with a touch of rosewater and a sprinkle of cocoa powder?,Iced Coffee
"One cup of joe with ice and a splash of hazelnut syrup, please.",Iced Coffee
I'd like a refreshing coffee with a hint of mint extract and a touch of honey.,Iced Coffee
Can you make it a coffee on the rocks with a shot of almond extract and a sprinkle of cinnamon sugar?,Iced Coffee
May I have a cold coffee with a drizzle of chocolate syrup and a dash of toffee syrup?,Iced Coffee
"One frosty java with a splash of coconut milk and a hint of orange zest, please.",Iced Coffee
I'll take a chilled java with caramel drizzle and a touch of lavender syrup.,Iced Coffee
Can I get a coffee served chilled with a sprinkle of nutmeg and a hint of coconut cream?,Iced Coffee
May I have a medium coffee with a dash of cinnamon and a shot of coconut milk over ice?,Iced Coffee
"One iced java with almond creamer and a touch of ginger syrup, please.",Iced Coffee
