descriptor,item
Traditional Big Mac with extra pickles,Big Mac
Classic Big Mac with no onions,Big Mac
Big Mac with extra cheese and bacon,Big Mac
Big Mac with lettuce wrap instead of bun,Big Mac
Big Mac with extra special sauce,Big Mac
Big Mac with double meat,Big Mac
Big Mac with extra tomatoes,Big Mac
Big Mac with no cheese,Big Mac
Big Mac with extra onions,Big Mac
Big Mac with no pickles,Big Mac
Big Mac with extra sesame seeds,Big Mac
Big Mac with added avocado,Big Mac
Big Mac with no sauce,Big Mac
Big Mac with extra lettuce,Big Mac
Big Mac with double cheese,Big Mac
Big Mac with extra bacon and onions,Big Mac
Big Mac with no mayo,Big Mac
Big Mac with double pickles,Big Mac
Big Mac with no bun,Big Mac
Big Mac with extra mustard,Big Mac
Big Mac with lettuce instead of bread,Big Mac
Big Mac with extra ketchup,Big Mac
Big Mac with no tomatoes,Big Mac
Big Mac with extra grilled onions,Big Mac
Big Mac with no sesame seeds,Big Mac
Big Mac with extra special sauce and onions,Big Mac
Big Mac with lettuce wrap and no onions,Big Mac
Big Mac with double meat and no cheese,Big Mac
Big Mac with extra tomatoes and pickles,Big Mac
Big Mac with no cheese and no pickles,Big Mac
Big Mac with extra onions and lettuce,Big Mac
Big Mac with no pickles or sauce,Big Mac
Big Mac with extra sesame seeds and lettuce,Big Mac
Big Mac with added avocado and bun,Big Mac
Big Mac with no sauce or onions,Big Mac
Big Mac with extra lettuce and cheese,Big Mac
Big Mac with double cheese and no pickles,Big Mac
Big Mac with extra bacon and onions,Big Mac
Big Mac with no mayo or tomatoes,Big Mac
Big Mac with double pickles and extra sauce,Big Mac
Big Mac with no bun or mustard,Big Mac
Big Mac with extra ketchup and onions,Big Mac
Big Mac with lettuce instead of bread and no cheese,Big Mac
Big Mac with extra grilled onions and pickles,Big Mac
Big Mac with no sesame seeds or special sauce,Big Mac
Big Mac with extra special sauce,Big Mac
 bacon,Big Mac
 and lettuce,Big Mac
Big Mac with lettuce wrap,Big Mac
 extra pickles,Big Mac
 and no onions,Big Mac
Big Mac with double meat,Big Mac
 no cheese,Big Mac
 and extra tomatoes,Big Mac
Big Mac with extra onions,Big Mac
 pickles,Big Mac
 and no mayo,Big Mac
Big Mac with no pickles or sauce,Big Mac
Signature Mac with extra pickles,Big Mac
Mighty Mac with no onions,Big Mac
Grand Mac with extra cheese and bacon,Big Mac
Colossal Mac with lettuce wrap instead of bun,Big Mac
Supreme Mac with extra special sauce,Big Mac
Double Mac with double meat,Big Mac
Giant Mac with extra tomatoes,Big Mac
Huge Mac with no cheese,Big Mac
Super Mac with extra onions,Big Mac
Ultra Mac with no pickles,Big Mac
Mammoth Mac with extra sesame seeds,Big Mac
Titan Mac with added avocado,Big Mac
Monster Mac with no sauce,Big Mac
King Mac with extra lettuce,Big Mac
Gargantuan Mac with double cheese,Big Mac
Enormous Mac with extra bacon and onions,Big Mac
Towering Mac with no mayo,Big Mac
Massive Mac with double pickles,Big Mac
Whopper Mac with no bun,Big Mac
Immense Mac with extra mustard,Big Mac
Colossal Mac with lettuce instead of bread,Big Mac
Beastly Mac with extra ketchup,Big Mac
Jumbo Mac with no tomatoes,Big Mac
Goliath Mac with extra grilled onions,Big Mac
Massive Mac with no sesame seeds,Big Mac
Mammoth Mac with extra special sauce and onions,Big Mac
Titan Mac with lettuce wrap and no onions,Big Mac
Giant Mac with double meat and no cheese,Big Mac
Supreme Mac with extra tomatoes and pickles,Big Mac
Double Mac with no cheese and no pickles,Big Mac
Huge Mac with extra onions and lettuce,Big Mac
Ultra Mac with no pickles or sauce,Big Mac
Mighty Mac with extra sesame seeds and lettuce,Big Mac
Grand Mac with added avocado and bun,Big Mac
Monster Mac with no sauce or onions,Big Mac
King Mac with extra lettuce and cheese,Big Mac
Towering Mac with double cheese and no pickles,Big Mac
Enormous Mac with extra bacon and onions,Big Mac
Whopper Mac with no mayo or tomatoes,Big Mac
Immense Mac with double pickles and extra sauce,Big Mac
Colossal Mac with no bun or mustard,Big Mac
Beastly Mac with extra ketchup and onions,Big Mac
Jumbo Mac with lettuce instead of bread and no cheese,Big Mac
Goliath Mac with extra grilled onions and pickles,Big Mac
Massive Mac with no sesame seeds or special sauce,Big Mac
Mammoth Mac with extra special sauce,Big Mac
 bacon,Big Mac
 and lettuce,Big Mac
Titan Mac with lettuce wrap,Big Mac
 extra pickles,Big Mac
 and no onions,Big Mac
Giant Mac with double meat,Big Mac
 no cheese,Big Mac
 and extra tomatoes,Big Mac
Supreme Mac with extra onions,Big Mac
 pickles,Big Mac
 and no mayo,Big Mac
Double Mac with no pickles or sauce,Big Mac
 and extra sesame seeds,Big Mac
Big Mac with extra pickles and no onions,Big Mac
Big Mac with no sauce,Big Mac
Extra cheese Big Mac,Big Mac
No lettuce Big Mac,Big Mac
Double patty Big Mac,Big Mac
Triple patty Big Mac,Big Mac
No bun Big Mac,Big Mac
No sesame seeds Big Mac,Big Mac
No pickles Big Mac,Big Mac
No cheese Big Mac,Big Mac
No meat Big Mac,Big Mac
No bun,Big Mac
 no sauce Big Mac,Big Mac
No onions Big Mac,Big Mac
No lettuce,Big Mac
 no sauce Big Mac,Big Mac
No bun,Big Mac
 no pickles Big Mac,Big Mac
No onions,Big Mac
 no pickles Big Mac,Big Mac
No onions,Big Mac
 no cheese Big Mac,Big Mac
Big Mac with extra sauce and no lettuce,Big Mac
Big Mac with no pickles,Big Mac
Double patty Big Mac with extra cheese,Big Mac
Triple patty Big Mac with extra sauce,Big Mac
No bun Big Mac with extra onions,Big Mac
No sesame seeds Big Mac with extra pickles,Big Mac
No cheese Big Mac with extra lettuce,Big Mac
No meat Big Mac with extra bun,Big Mac
No onions Big Mac with extra lettuce,Big Mac
 extra sauce Big Mac,Big Mac
No lettuce,Big Mac
 extra pickles Big Mac,Big Mac
Double patty Big Mac,Big Mac
 extra cheese and sauce,Big Mac
Triple patty Big Mac,Big Mac
 extra onions and pickles,Big Mac
No bun Big Mac,Big Mac
 extra sesame seeds and pickles,Big Mac
No pickles and extra cheese Big Mac,Big Mac
No cheese and extra lettuce Big Mac,Big Mac
No meat and extra sauce Big Mac,Big Mac
No bun,Big Mac
 no sauce,Big Mac
 extra pickles Big Mac,Big Mac
No onions and extra pickles Big Mac,Big Mac
No lettuce,Big Mac
 no sauce,Big Mac
 extra cheese Big Mac,Big Mac
No bun,Big Mac
 no pickles,Big Mac
 extra onions Big Mac,Big Mac
No onions,Big Mac
 no pickles,Big Mac
 extra sauce Big Mac,Big Mac
No onions,Big Mac
 no cheese,Big Mac
 extra lettuce Big Mac,Big Mac
Big Mac alternative with extra sauce and no lettuce,Big Mac
Big Mac alternative with no pickles,Big Mac
Double patty Big Mac alternative with extra cheese,Big Mac
Triple patty Big Mac alternative with extra sauce,Big Mac
No bun Big Mac alternative with extra onions,Big Mac
No sesame seeds Big Mac alternative with extra pickles,Big Mac
No cheese Big Mac alternative with extra lettuce,Big Mac
No meat Big Mac alternative with extra bun,Big Mac
No onions Big Mac alternative with extra lettuce,Big Mac
 extra sauce,Big Mac
Big Mac substitute with no lettuce,Big Mac
 extra pickles,Big Mac
Double patty Big Mac substitute with extra cheese and sauce,Big Mac
Triple patty Big Mac substitute with extra onions and pickles,Big Mac
No bun Big Mac substitute with extra sesame seeds and pickles,Big Mac
No pickles and extra cheese Big Mac substitute with no cheese and extra lettuce,Big Mac
No meat and extra sauce Big Mac substitute with no bun,Big Mac
 no sauce,Big Mac
 extra pickles,Big Mac
No onions and extra pickles Big Mac substitute,Big Mac
No lettuce,Big Mac
 no sauce,Big Mac
 extra cheese,Big Mac
No bun,Big Mac
 no pickles,Big Mac
 extra onions Big Mac substitute,Big Mac
No onions,Big Mac
 no pickles,Big Mac
 extra sauce,Big Mac
No onions,Big Mac
 no cheese,Big Mac
 extra lettuce and extra sauce,Big Mac
Iced Coffee with vanilla syrup,Iced Coffee
Iced Coffee with caramel syrup,Iced Coffee
Iced Coffee with hazelnut syrup,Iced Coffee
Iced Coffee with mocha syrup,Iced Coffee
Iced Coffee with whipped cream,Iced Coffee
Iced Coffee with chocolate drizzle,Iced Coffee
Iced Coffee with almond milk,Iced Coffee
Iced Coffee with soy milk,Iced Coffee
Iced Coffee with coconut milk,Iced Coffee
Iced Coffee with oat milk,Iced Coffee
Iced Coffee with no sugar,Iced Coffee
Iced Coffee with extra sugar,Iced Coffee
Iced Coffee with extra ice,Iced Coffee
Iced Coffee with no ice,Iced Coffee
Iced Coffee with extra cream,Iced Coffee
Iced Coffee with no cream,Iced Coffee
Iced Coffee with extra flavor shot,Iced Coffee
Iced Coffee with double shot of espresso,Iced Coffee
Iced Coffee with decaf espresso,Iced Coffee
Iced Coffee with half and half,Iced Coffee
Iced Coffee with a sprinkle of cinnamon,Iced Coffee
Iced Coffee with a dash of nutmeg,Iced Coffee
Iced Coffee with a splash of vanilla extract,Iced Coffee
Iced Coffee with a hint of mint,Iced Coffee
Iced Coffee with a touch of caramel,Iced Coffee
Iced Coffee with a drizzle of chocolate syrup,Iced Coffee
Iced Coffee with whipped cream and chocolate drizzle,Iced Coffee
Iced Coffee with almond milk and caramel syrup,Iced Coffee
Iced Coffee with soy milk and vanilla syrup,Iced Coffee
Iced Coffee with coconut milk and hazelnut syrup,Iced Coffee
Iced Coffee with oat milk and mocha syrup,Iced Coffee
Refreshing Coffee Blend with ice cubes,Iced Coffee
Chilled Coffee Blend with a syrup twist,Iced Coffee
Frosty Coffee Blend with cream and sugar,Iced Coffee
Brisk Coffee Blend with a hint of sweetness,Iced Coffee
Cooling Coffee Blend with milk and ice,Iced Coffee
Blended Coffee Delight with a dash of flavor syrup,Iced Coffee
Ice-Cold Creamy Coffee with whipped topping,Iced Coffee
Chilled Java Bliss with a caramel kiss,Iced Coffee
